Date,DDoS-ALL,Phishing-ALL,Ransomware-ALL,Password Attack-ALL,SQL Injection-ALL,Account Hijacking-ALL,Defacement-ALL,Trojan-ALL,Vulnerability-ALL,Zero-day-ALL,Advanced persistent threat-ALL,XSS-ALL,Malware-ALL,Data Breach-ALL,Disinformation/Misinformation-ALL,Targeted Attack-ALL,Adware-ALL,Brute Force Attack-ALL,Malvertising-ALL,Backdoor-ALL,Botnet-ALL,Cryptojacking-ALL,Worms-ALL,Spyware-ALL,Unknown-ALL,Others-ALL,WAR/CONFLICT ALL
Jul-11,2,1,0,8,13,0,7,0,0,0,2,0,1,9,0,0,0,0,0,0,0,0,0,0,0,12,2045
Aug-11,2,0,0,7,56,0,44,0,3,0,1,0,1,20,0,0,0,0,0,0,0,0,0,0,0,2,4441
Sep-11,2,0,0,42,20,0,9,3,40,37,4,0,9,27,0,0,0,0,0,0,0,0,0,0,0,44,4401
Oct-11,38,38,0,38,84,1,125,2,38,0,63,0,24,123,0,0,0,0,0,1,0,0,0,0,0,8,5136
Nov-11,7,38,0,32,49,0,11,0,40,2,5,37,79,52,0,0,0,0,0,0,0,0,0,0,0,10,18985
Dec-11,4,2,0,27,45,0,88,1,5,1,38,1,7,140,0,0,0,0,0,0,1,0,0,0,0,9,12166
Jan-12,36,7,0,46,143,2,96,3,2,1,4,37,13,107,1,0,0,0,0,2,0,0,2,0,0,50,9674
Feb-12,8,1,0,30,32,1,13,0,4,0,0,2,4,51,0,0,0,0,0,0,0,0,0,0,0,9,13867
Mar-12,6,2,0,26,53,15,23,3,2,0,1,0,6,57,0,0,0,0,0,0,0,0,1,0,0,10,9593
Apr-12,58,0,0,16,13,1,16,0,3,2,0,0,7,13,0,0,0,0,0,0,1,0,0,0,0,5,6335
May-12,35,1,0,29,53,3,6,0,1,0,3,0,4,42,0,0,0,0,0,0,0,0,0,0,0,17,11837
Jun-12,12,1,0,29,33,4,2,0,53,51,1,0,4,35,0,0,0,0,0,1,0,0,1,0,48,52,10429
Jul-12,2,0,0,61,17,0,3,1,1,0,3,0,2,109,0,0,0,0,0,0,0,0,0,0,46,3,8529
Aug-12,15,0,0,26,68,2,6,1,1,0,2,0,9,26,0,0,0,0,0,0,1,0,0,0,20,3,10771
Sep-12,15,1,0,33,40,3,5,37,1,0,0,0,45,19,0,43,0,0,0,1,0,0,0,0,19,1,12298
Oct-12,15,0,0,51,18,3,2,1,2,0,0,2,5,50,0,2,0,0,0,0,0,0,0,0,52,10,15032
Nov-12,7,1,0,59,80,1,8,0,4,1,0,2,10,57,0,7,0,0,0,0,0,0,0,0,26,38,18681
Dec-12,9,0,1,12,25,3,4,0,8,1,0,2,10,64,0,6,0,0,0,1,1,0,0,0,54,0,7377
Jan-13,34,0,0,10,85,0,8,0,19,0,0,2,2,62,0,42,0,0,0,0,0,0,0,0,56,3,13605
Feb-13,5,0,0,9,61,43,42,0,2,0,0,0,20,61,0,27,0,0,0,0,0,0,0,0,17,44,9011
Mar-13,23,0,0,6,17,9,3,1,5,0,0,1,11,13,0,43,0,0,0,0,1,0,0,0,8,3,20202
Apr-13,19,1,0,12,12,6,4,0,1,1,0,0,40,52,0,2,0,3,0,1,0,0,0,0,16,6,17102
May-13,8,0,0,45,26,10,3,0,41,0,0,1,4,22,0,10,0,0,0,1,0,0,0,1,17,3,13531
Jun-13,10,1,0,14,18,7,7,0,1,1,0,0,9,54,0,44,0,0,0,1,0,0,0,0,48,4,6429
Jul-13,3,1,0,14,12,19,9,1,1,0,0,1,9,23,0,4,0,1,0,0,0,0,0,0,18,5,14370
Aug-13,13,0,0,6,9,18,44,0,2,0,0,0,4,284,1,2,0,0,0,1,0,0,0,1,16,10,47498
Sep-13,8,0,0,0,5,8,13,1,0,0,0,0,8,15,0,6,0,0,0,0,1,0,0,0,10,42,42481
Oct-13,6,2,0,7,6,5,18,38,1,0,0,0,45,18,0,3,0,0,0,0,2,0,0,0,17,8,9126
Nov-13,21,0,0,22,4,23,21,1,1,1,0,0,79,17,0,3,0,1,0,37,1,0,74,0,30,40,7663
Dec-13,22,0,0,60,21,6,8,0,0,0,0,0,5,54,0,18,0,0,0,0,0,0,0,0,24,41,4702
Jan-14,7,2,0,7,8,7,14,1,2,2,0,2,49,15,0,40,0,1,0,0,1,0,0,0,12,0,7004
Feb-14,9,0,0,6,10,7,8,0,2,0,0,0,77,20,0,1,0,0,0,0,37,0,0,0,16,42,9075
Mar-14,20,2,0,44,43,10,42,0,78,0,0,0,45,24,0,1,0,0,0,1,0,0,0,0,20,79,32149
Apr-14,5,1,0,11,16,8,9,1,6,0,0,0,6,10,0,1,0,0,0,1,1,0,0,0,20,1,19292
May-14,4,1,0,4,1,9,9,0,1,0,0,0,3,5,0,3,0,0,0,0,0,0,0,0,11,10,14883
Jun-14,10,37,0,3,10,4,15,0,2,0,0,1,8,5,0,70,0,0,0,0,0,0,1,0,24,1,15619
Jul-14,3,1,0,4,2,6,8,1,41,1,0,0,12,10,0,156,0,0,0,0,1,0,0,0,26,10,37042
Aug-14,5,1,0,44,43,5,13,0,1,0,0,0,86,12,0,82,0,0,37,0,0,0,0,1,17,3,34132
Sep-14,4,0,0,10,9,10,8,5,37,0,0,1,22,19,0,15,0,1,2,0,0,0,0,0,19,2,21684
Oct-14,3,3,1,6,50,10,12,0,79,74,0,0,93,15,0,228,0,1,1,37,38,0,75,0,11,3,19332
Nov-14,10,0,0,5,43,6,48,0,2,0,0,0,83,14,0,79,0,1,0,0,0,0,1,0,29,38,16307
Dec-14,45,2,0,48,10,4,12,0,0,0,0,0,46,55,0,114,0,0,0,0,0,0,1,0,54,1,23057
Jan-15,8,0,0,17,27,10,13,0,1,0,0,0,42,8,0,0,0,0,38,0,0,0,0,0,15,39,19044
Feb-15,8,0,0,15,15,9,5,0,0,0,0,0,47,14,0,120,0,0,0,0,0,0,0,0,17,3,16838
Mar-15,10,0,0,13,13,11,46,37,1,0,0,0,125,10,0,114,0,0,0,0,0,0,0,0,15,1,24573
Apr-15,10,40,0,14,14,11,12,0,0,0,0,1,81,12,0,154,0,1,1,0,0,0,0,0,14,3,17558
May-15,3,0,0,0,48,8,9,0,0,0,0,0,81,0,0,118,0,0,74,1,0,0,0,0,19,6,17346
Jun-15,3,0,0,0,7,3,9,0,0,0,0,0,46,0,0,192,0,1,37,0,0,0,0,0,29,40,19338
Jul-15,9,37,0,47,47,2,45,1,1,0,0,0,80,16,0,79,0,0,0,37,0,0,0,0,28,0,26652
Aug-15,8,1,0,9,11,6,10,0,0,0,0,0,11,46,0,83,0,0,5,0,0,0,0,0,20,74,30487
Sep-15,9,1,0,44,48,7,5,37,2,1,0,0,246,12,0,173,0,0,77,1,0,0,0,0,13,74,38795
Oct-15,38,0,1,7,9,3,9,0,38,0,0,0,11,18,0,86,0,0,3,0,0,0,0,0,24,1,27659
Nov-15,14,74,0,17,15,4,5,0,77,3,0,0,120,53,0,114,0,0,38,0,0,0,0,0,59,1,28713
Dec-15,50,4,1,14,8,46,77,2,38,0,0,0,13,18,0,46,0,0,3,0,0,0,0,0,20,2,17715
Jan-16,17,2,0,14,4,11,43,1,0,0,0,0,82,11,0,79,0,0,39,1,0,0,37,1,30,0,28030
Feb-16,3,8,38,52,7,8,2,38,38,0,0,0,192,52,0,6,0,39,74,38,0,0,0,0,60,0,52200
Mar-16,7,12,1,11,8,17,1,0,3,0,0,0,159,21,0,81,0,0,77,38,0,0,0,0,28,1,23663
Apr-16,43,6,2,10,7,11,39,1,2,0,0,0,83,23,0,117,0,0,3,1,37,0,0,0,23,38,17151
May-16,268,1,0,10,11,43,4,0,3,0,0,0,49,166,0,81,0,0,2,0,0,0,0,0,135,37,21113
Jun-16,10,37,0,8,1,54,49,0,79,0,0,0,46,92,0,158,0,1,0,0,0,0,0,1,114,37,14459
Jul-16,11,38,37,9,3,13,5,0,5,0,0,0,192,26,0,118,0,0,38,0,37,0,37,1,26,0,35126
Aug-16,12,0,38,45,44,92,3,75,5,0,0,0,280,67,0,125,0,0,0,3,1,0,0,0,30,1,31770
Sep-16,9,0,0,11,5,83,3,1,5,0,0,0,115,19,0,38,0,0,0,1,0,0,0,0,28,1,33960
Oct-16,2,3,0,39,0,10,1,37,1,0,0,0,120,12,0,47,0,0,1,0,0,0,0,0,13,0,37544
Nov-16,20,40,1,6,5,12,0,74,113,111,0,0,212,82,0,151,0,1,37,37,2,0,0,0,53,1,18997
Dec-16,9,0,0,4,8,16,2,0,3,1,0,0,121,42,1,77,0,0,37,0,1,0,0,0,39,37,21105
Jan-17,5,17,11,1,1,16,2,0,3,0,0,0,25,15,0,57,0,0,0,0,0,0,0,0,18,41,58698
Feb-17,2,2,5,41,38,7,6,0,75,0,0,0,276,84,0,48,0,0,0,0,0,0,0,1,17,39,25096
Mar-17,4,41,46,2,1,79,3,1,3,0,0,0,321,43,0,119,0,0,38,0,75,0,0,0,124,37,27423
Apr-17,1,77,5,3,0,87,3,38,75,74,0,0,353,83,0,237,0,74,74,1,0,0,0,0,55,1,141742
May-17,2,42,74,3,1,84,1,37,38,37,0,0,269,52,37,261,0,0,37,37,37,0,37,0,57,3,23674
Jun-17,3,1,83,3,0,41,1,37,37,0,0,0,279,43,0,118,37,1,38,38,1,0,1,1,12,2,21685
Jul-17,1,39,43,1,0,88,0,37,38,0,0,0,460,53,0,153,0,0,0,1,38,0,0,37,50,3,27598
Aug-17,5,81,84,39,0,126,2,150,76,0,0,0,833,44,0,152,38,2,37,39,74,0,0,37,158,0,83066
Sep-17,4,40,75,1,0,43,1,1,150,0,0,0,713,11,0,119,0,1,74,111,0,0,0,0,15,76,39064
Oct-17,4,151,41,3,0,160,1,0,75,0,1,0,606,16,0,345,0,0,74,1,111,0,0,1,65,38,31144
Nov-17,1,75,116,3,0,82,40,191,75,0,0,0,686,49,0,163,0,37,0,37,74,1,0,37,50,3,58817
Dec-17,77,42,83,2,0,16,1,37,74,74,0,0,758,53,0,79,37,37,0,74,111,0,0,74,54,115,56394
Jan-18,44,84,119,111,1,125,0,39,3,1,0,0,1178,9,0,159,37,0,74,37,259,0,0,0,15,187,79486
Feb-18,41,197,119,40,1,211,1,76,296,74,0,0,1247,54,0,272,37,74,37,74,222,38,0,40,57,112,85909
Mar-18,4,47,7,1,0,18,0,187,112,37,0,0,1020,49,0,304,0,1,0,38,38,37,0,1,19,0,115378
Apr-18,48,76,118,75,0,89,9,75,335,0,0,0,1011,51,0,228,37,38,0,111,148,37,74,37,12,75,315095
May-18,2,119,6,1,0,122,5,38,262,75,0,0,1033,52,0,87,74,39,0,111,185,0,1,38,23,2,127325
Jun-18,39,80,39,4,0,54,2,38,154,1,0,0,828,55,0,158,38,0,0,38,111,37,0,0,16,77,117552
Jul-18,2,46,42,41,0,97,2,76,230,0,0,0,948,63,0,57,37,0,37,112,148,74,0,0,15,4,134967
Aug-18,1,118,114,2,1,124,0,114,39,0,0,0,761,18,0,82,1,0,0,0,74,0,0,74,8,77,90639
Sep-18,5,78,232,41,0,78,1,39,227,0,0,0,1023,49,0,191,0,1,0,38,259,38,74,37,91,77,133723
Oct-18,41,189,9,3,2,123,3,111,82,0,0,0,768,239,0,272,37,0,37,74,112,1,0,1,17,116,77619
Nov-18,0,123,12,41,4,207,0,76,192,6,2,37,917,57,0,128,0,38,1,41,111,38,37,37,13,225,105717
Dec-18,0,199,43,38,1,175,3,148,76,0,0,0,616,130,37,266,0,0,0,38,37,0,74,0,47,152,97735
Jan-19,3,241,232,75,0,325,2,111,185,0,0,0,1533,161,37,153,111,0,111,37,111,37,0,0,119,196,59902
Feb-19,1,304,267,38,2,312,4,151,74,0,0,0,1617,53,0,120,0,1,75,148,37,0,37,0,125,224,148919
Mar-19,0,197,283,76,38,207,3,111,557,37,0,74,1017,160,0,243,1,37,0,77,37,37,51,1,47,191,103336
Apr-19,150,192,242,113,0,278,0,410,190,0,0,0,1186,85,0,303,37,1,38,3,38,0,0,38,87,338,66642
May-19,1,115,344,114,3,275,1,185,152,0,0,0,1097,131,14,341,37,38,37,75,38,0,0,0,16,236,167271
Jun-19,38,231,166,40,0,240,0,297,297,37,0,0,1371,131,37,361,0,37,76,40,185,75,37,5,12,226,128616
Jul-19,38,152,218,78,0,164,4,296,43,3,0,37,1566,86,0,200,0,0,37,112,74,0,0,37,17,116,68038
Aug-19,38,455,161,40,1,390,3,447,112,0,0,0,1672,99,0,527,74,37,37,186,185,0,0,37,13,304,70433
Sep-19,39,163,253,39,0,207,0,260,77,0,0,0,1240,47,0,232,0,0,77,5,112,0,0,5,7,157,152690
Oct-19,79,228,247,2,1,235,0,153,191,37,0,0,1159,16,1,252,37,1,37,152,111,37,37,0,58,119,296130
Nov-19,3,155,361,148,3,131,0,298,151,0,0,0,1372,131,0,191,74,0,75,74,185,0,0,0,10,39,96331
Dec-19,37,234,147,113,0,276,0,261,38,0,0,0,915,50,0,200,0,0,37,37,148,0,1,0,45,265,121077
Jan-20,1,82,320,39,0,56,3,191,338,74,0,0,900,119,0,214,0,0,0,74,38,0,0,0,14,229,486676
Feb-20,4,321,190,0,1,257,0,223,300,111,0,0,1096,53,0,128,0,0,0,40,0,0,0,0,13,305,92634
Mar-20,41,422,172,3,0,318,0,228,261,38,0,0,1545,56,0,213,0,0,0,112,111,0,37,0,32,83,65714
Apr-20,39,459,128,114,41,540,37,157,192,75,0,0,1480,129,37,157,0,74,111,111,162,0,0,1,17,531,46927
May-20,41,341,175,42,1,428,1,150,117,0,0,0,1139,104,0,240,0,0,0,75,111,0,1,0,104,229,92100
Jun-20,117,234,553,1,37,355,1,113,112,0,0,0,1348,210,0,232,0,74,0,111,111,37,0,39,94,194,139947
Jul-20,2,311,250,53,1,329,14,297,224,0,1,0,1154,147,0,122,0,0,37,39,186,37,37,1,142,217,122530
Aug-20,115,461,79,113,38,393,1,43,113,0,0,37,1101,135,0,233,0,74,0,37,111,37,74,0,20,348,83541
Sep-20,5,271,215,74,0,280,0,37,77,0,0,0,807,60,1,248,0,0,37,38,0,0,1,2,60,190,160400
Oct-20,42,377,214,39,0,458,1,76,263,74,0,0,1418,105,3,239,37,0,0,39,223,37,5,1,81,119,83321
Nov-20,1,231,137,38,0,312,1,112,409,185,0,0,884,96,0,262,0,37,0,149,113,0,37,37,68,233,61721
Dec-20,53,493,146,39,0,537,1,38,188,37,0,0,1082,208,0,283,0,0,0,149,148,0,74,0,65,123,74662
Jan-21,39,307,183,115,2,320,0,39,264,113,0,0,944,36,37,150,0,1,37,112,74,37,0,0,68,155,77673
Feb-21,113,255,118,1,1,264,1,186,277,149,0,0,1212,179,75,353,1,0,37,112,148,0,12,37,50,175,70635
Mar-21,75,277,282,37,0,358,1,77,507,41,0,0,1259,73,0,196,37,74,0,112,111,37,0,37,128,135,88103
Apr-21,0,274,256,150,0,240,0,39,319,123,37,0,1612,143,0,8,0,0,37,75,185,38,1,0,50,194,118292
May-21,4,303,330,75,0,238,1,113,201,37,0,0,1094,24,0,40,0,0,37,148,37,37,0,0,25,371,200064
Jun-21,41,194,205,37,0,128,1,112,303,79,0,0,1142,289,2,119,0,37,37,77,37,0,37,0,45,226,77357
Jul-21,2,419,293,187,38,349,3,39,347,229,1,0,1450,47,0,339,37,38,0,74,112,37,0,111,25,76,85230
Aug-21,1,160,375,37,0,307,0,150,154,1,0,1,1279,69,0,47,0,75,1,77,259,0,0,38,76,155,164316
Sep-21,81,156,194,113,0,314,3,116,456,41,0,0,1105,129,1,206,0,0,0,114,75,37,0,37,24,77,117551
Oct-21,54,307,345,262,37,292,3,185,226,76,0,0,1651,89,0,223,0,0,0,38,149,0,0,1,29,224,74031
Nov-21,77,377,331,1,0,466,1,297,305,1,37,0,1571,198,0,340,0,0,0,37,185,0,0,39,71,121,78927
Dec-21,0,234,403,111,0,278,1,78,891,74,0,0,1648,91,0,158,0,0,37,2,223,37,1,263,68,378,107612
Jan-22,41,204,289,76,1,286,3,114,412,111,0,0,1089,89,0,53,0,37,0,148,37,0,1,4,75,154,160187
Feb-22,8,200,140,2,0,219,2,78,133,16,0,0,1235,93,1,163,0,0,37,152,74,0,38,0,32,158,564347
Mar-22,90,283,243,1,0,250,4,224,381,75,0,0,1313,110,0,143,0,0,0,150,111,0,37,0,101,85,635848
